Jurisdiction,LGA,Year,Total Early Payment,Total Financial Assistance Grant (inc Early Payment),,,
Queensland,Cassowary Coast Regional Council,2023-24,"$5,593,930","$5,813,452",,,
Queensland,Central Highlands Regional Council,2017-18,"$4,410,740","$9,004,206",,,
Queensland,Central Highlands Regional Council,2018-19,"$4,676,055","$9,490,602",,,
Queensland,Central Highlands Regional Council,2019-20,"$4,998,965","$9,828,446",,,
Queensland,Central Highlands Regional Council,2020-21,"$5,139,105","$10,262,066",,,
Queensland,Central Highlands Regional Council,2021-22,"$5,524,501","$10,956,276",,,
Queensland,Central Highlands Regional Council,2022-23,"$8,446,103","$10,532,848",,,
Queensland,Central Highlands Regional Council,2023-24,"$9,969,497","$10,443,633",,,
Queensland,Charters Towers Regional Council,2017-18,"$3,099,182","$5,926,349",,,
Queensland,Charters Towers Regional Council,2018-19,"$3,078,059","$6,213,231",,,
Queensland,Charters Towers Regional Council,2019-20,"$3,254,885","$6,403,599",,,
Queensland,Charters Towers Regional Council,2020-21,"$3,350,514","$6,376,023",,,
Queensland,Charters Towers Regional Council,2021-22,"$3,259,418","$6,769,574",,,
Queensland,Charters Towers Regional Council,2022-23,"$5,457,352","$8,601,438",,,
Queensland,Charters Towers Regional Council,2023-24,"$10,692,236","$11,087,986",,,
Queensland,Cherbourg Aboriginal Shire Council,2017-18,"$300,148","$618,268",,,
Queensland,Cherbourg Aboriginal Shire Council,2018-19,"$321,237","$660,767",,,
Queensland,Cherbourg Aboriginal Shire Council,2019-20,"$352,612","$687,618",,,
Queensland,Cherbourg Aboriginal Shire Council,2020-21,"$356,735","$963,294",,,
Queensland,Cherbourg Aboriginal Shire Council,2021-22,"$655,113","$1,033,959",,,
Queensland,Cherbourg Aboriginal Shire Council,2022-23,"$590,643","$1,591,861",,,
Queensland,Cherbourg Aboriginal Shire Council,2023-24,"$2,240,661","$2,311,534",,,
Queensland,Cloncurry Shire Council,2017-18,"$2,799,402","$5,465,628",,,
Queensland,Cloncurry Shire Council,2018-19,"$2,839,632","$5,619,988",,,
Queensland,Cloncurry Shire Council,2019-20,"$2,887,231","$5,747,600",,,
Queensland,Cloncurry Shire Council,2020-21,"$3,045,105","$5,679,342",,,
Queensland,Cloncurry Shire Council,2021-22,"$2,842,765","$5,949,692",,,
Queensland,Cloncurry Shire Council,2022-23,"$4,838,764","$7,376,709",,,
Queensland,Cloncurry Shire Council,2023-24,"$9,067,732","$9,398,016",,,
Queensland,Cook Shire Council,2017-18,"$4,699,170","$9,653,151",,,
Queensland,Cook Shire Council,2018-19,"$5,014,603","$10,274,686",,,
Queensland,Cook Shire Council,2019-20,"$5,462,297","$10,670,170",,,
Queensland,Cook Shire Council,2020-21,"$5,544,183","$10,566,954",,,
Queensland,Cook Shire Council,2021-22,"$5,420,377","$11,331,941",,,
Queensland,Cook Shire Council,2022-23,"$9,207,222","$12,514,353",,,
Queensland,Cook Shire Council,2023-24,"$13,727,831","$14,284,572",,,
Queensland,Croydon Shire Council,2017-18,"$1,796,501","$3,691,320",,,
Queensland,Croydon Shire Council,2018-19,"$1,917,595","$3,930,272",,,
Queensland,Croydon Shire Council,2019-20,"$2,090,067","$4,082,375",,,
Queensland,Croydon Shire Council,2020-21,"$2,121,019","$4,282,577",,,
Queensland,Croydon Shire Council,2021-22,"$2,333,073","$4,592,225",,,
Queensland,Croydon Shire Council,2022-23,"$3,518,963","$5,330,169",,,
Queensland,Croydon Shire Council,2023-24,"$6,136,764","$6,373,872",,,
Queensland,Diamantina Shire Council,2017-18,"$1,533,996","$3,094,221",,,
Queensland,Diamantina Shire Council,2018-19,"$1,607,378","$3,131,593",,,
Queensland,Diamantina Shire Council,2019-20,"$1,582,753","$3,178,381",,,
Queensland,Diamantina Shire Council,2020-21,"$1,698,530","$3,150,992",,,
Queensland,Diamantina Shire Council,2021-22,"$1,567,047","$3,359,727",,,
Queensland,Diamantina Shire Council,2022-23,"$2,791,181","$4,608,256",,,
Queensland,Diamantina Shire Council,2023-24,"$6,085,619","$6,292,338",,,
Queensland,Doomadgee Aboriginal Community Council,2017-18,"$656,444","$1,354,209",,,
Queensland,Doomadgee Aboriginal Community Council,2018-19,"$703,655","$1,448,976",,,
Queensland,Doomadgee Aboriginal Community Council,2019-20,"$774,057","$1,507,554",,,
Queensland,Doomadgee Aboriginal Community Council,2020-21,"$781,137","$1,659,942",,,
Queensland,Doomadgee Aboriginal Community Council,2021-22,"$949,143","$1,783,131",,,
Queensland,Doomadgee Aboriginal Community Council,2022-23,"$1,300,648","$2,594,470",,,
Queensland,Doomadgee Aboriginal Community Council,2023-24,"$3,555,717","$3,670,853",,,
Queensland,Douglas Shire Council,2017-18,"$659,898","$1,352,714",,,
Queensland,Douglas Shire Council,2018-19,"$702,604","$1,469,785",,,
Queensland,Douglas Shire Council,2019-20,"$796,596","$1,530,072",,,
Queensland,Douglas Shire Council,2020-21,"$780,668","$1,601,829",,,
Queensland,Douglas Shire Council,2021-22,"$885,713","$1,713,031",,,
Queensland,Douglas Shire Council,2022-23,"$1,287,485","$2,914,627",,,
Queensland,Douglas Shire Council,2023-24,"$4,366,597","$4,500,363",,,
Queensland,Etheridge Shire Council,2017-18,"$2,443,066","$5,013,965",,,
Queensland,Etheridge Shire Council,2018-19,"$2,604,517","$5,337,929",,,
Queensland,Etheridge Shire Council,2019-20,"$2,838,424","$5,531,634",,,
Queensland,Etheridge Shire Council,2020-21,"$2,866,952","$5,796,189",,,
Queensland,Etheridge Shire Council,2021-22,"$3,161,034","$6,211,615",,,
Queensland,Etheridge Shire Council,2022-23,"$4,750,163","$6,845,021",,,
Queensland,Etheridge Shire Council,2023-24,"$7,499,230","$7,803,393",,,
Queensland,Flinders Shire Council,2017-18,"$3,108,098","$6,383,076",,,
Queensland,Flinders Shire Council,2018-19,"$3,315,849","$6,791,028",,,
Queensland,Flinders Shire Council,2019-20,"$3,608,767","$7,052,255",,,
Queensland,Flinders Shire Council,2020-21,"$3,665,825","$7,399,900",,,
Queensland,Flinders Shire Council,2021-22,"$4,030,082","$7,933,107",,,
Queensland,Flinders Shire Council,2022-23,"$6,078,746","$8,657,724",,,
Queensland,Flinders Shire Council,2023-24,"$9,411,144","$9,795,573",,,
Queensland,Fraser Coast Regional Council,2017-18,"$3,423,718","$6,990,250",,,
Queensland,Fraser Coast Regional Council,2018-19,"$3,629,879","$7,394,975",,,
Queensland,Fraser Coast Regional Council,2019-20,"$3,909,145","$7,654,036",,,
Queensland,Fraser Coast Regional Council,2020-21,"$3,984,516","$7,969,816",,,
Queensland,Fraser Coast Regional Council,2021-22,"$4,296,509","$8,517,530",,,
Queensland,Fraser Coast Regional Council,2022-23,"$6,560,342","$7,182,422",,,
Queensland,Fraser Coast Regional Council,2023-24,"$5,310,598","$5,624,246",,,
Queensland,Gladstone Regional Council,2017-18,"$3,813,998","$7,302,647",,,
Queensland,Gladstone Regional Council,2018-19,"$3,793,168","$7,582,662",,,
Queensland,Gladstone Regional Council,2019-20,"$3,934,724","$7,811,409",,,
Queensland,Gladstone Regional Council,2020-21,"$4,125,619","$8,030,364",,,
Queensland,Gladstone Regional Council,2021-22,"$4,211,167","$8,593,105",,,
Queensland,Gladstone Regional Council,2022-23,"$6,815,968","$8,993,648",,,
Queensland,Gladstone Regional Council,2023-24,"$9,510,792","$9,919,147",,,
Queensland,Gold Coast City Council,2017-18,"$9,589,035","$19,349,198",,,
Queensland,Gold Coast City Council,2018-19,"$10,047,252","$20,543,422",,,
Queensland,Gold Coast City Council,2019-20,"$10,897,252","$21,181,752",,,
Queensland,Gold Coast City Council,2020-21,"$10,941,223","$21,773,421",,,
Queensland,Gold Coast City Council,2021-22,"$11,672,812","$23,043,942",,,
Queensland,Gold Coast City Council,2022-23,"$17,665,023","$22,790,340",,,
Queensland,Gold Coast City Council,2023-24,"$21,894,918","$22,917,898",,,
Queensland,Goondiwindi Regional Council,2017-18,"$2,979,692","$5,976,010",,,
Queensland,Goondiwindi Regional Council,2018-19,"$3,104,045","$6,172,189",,,
Queensland,Goondiwindi Regional Council,2019-20,"$3,185,823","$6,215,342",,,
Queensland,Goondiwindi Regional Council,2020-21,"$3,224,269","$6,171,341",,,
Queensland,Goondiwindi Regional Council,2021-22,"$3,178,556","$6,239,860",,,
Queensland,Goondiwindi Regional Council,2022-23,"$4,761,326","$7,217,032",,,
Queensland,Goondiwindi Regional Council,2023-24,"$8,347,304","$8,673,499",,,
Queensland,Gympie Regional Council,2017-18,"$2,593,911","$5,188,035",,,
Queensland,Gympie Regional Council,2018-19,"$2,694,240","$5,394,573",,,
Queensland,Gympie Regional Council,2019-20,"$2,803,649","$5,588,490",,,
Queensland,Gympie Regional Council,2020-21,"$2,963,167","$5,564,026",,,
Queensland,Gympie Regional Council,2021-22,"$2,803,394","$5,946,827",,,
Queensland,Gympie Regional Council,2022-23,"$4,886,389","$6,491,791",,,
Queensland,Gympie Regional Council,2023-24,"$7,168,338","$7,466,107",,,
Queensland,Hinchinbrook Shire Council,2017-18,"$1,013,928","$1,981,416",,,
Queensland,Hinchinbrook Shire Council,2018-19,"$1,029,233","$1,953,086",,,
Queensland,Hinchinbrook Shire Council,2019-20,"$959,264","$2,022,326",,,
Queensland,Hinchinbrook Shire Council,2020-21,"$1,131,450","$2,005,036",,,
Queensland,Hinchinbrook Shire Council,2021-22,"$942,041","$2,143,428",,,
Queensland,Hinchinbrook Shire Council,2022-23,"$1,869,554","$3,489,138",,,
Queensland,Hinchinbrook Shire Council,2023-24,"$5,112,615","$5,247,445",,,
Queensland,Hope Vale Aboriginal Shire Council,2017-18,"$525,659","$1,083,792",,,
Queensland,Hope Vale Aboriginal Shire Council,2018-19,"$563,119","$1,156,142",,,
Queensland,Hope Vale Aboriginal Shire Council,2019-20,"$615,877","$1,203,402",,,
Queensland,Hope Vale Aboriginal Shire Council,2020-21,"$625,641","$1,650,610",,,
Queensland,Hope Vale Aboriginal Shire Council,2021-22,"$1,107,040","$1,772,276",,,
Queensland,Hope Vale Aboriginal Shire Council,2022-23,"$1,037,194","$2,403,994",,,
Queensland,Hope Vale Aboriginal Shire Council,2023-24,"$3,185,215","$3,291,594",,,
Queensland,Ipswich City Council,2017-18,"$3,521,482","$7,123,022",,,
Queensland,Ipswich City Council,2018-19,"$3,698,432","$7,529,019",,,
Queensland,Ipswich City Council,2019-20,"$3,976,851","$7,833,671",,,
Queensland,Ipswich City Council,2020-21,"$4,102,751","$8,118,529",,,
Queensland,Ipswich City Council,2021-22,"$4,326,919","$8,715,736",,,
Queensland,Ipswich City Council,2022-23,"$6,815,320","$8,539,790",,,
Queensland,Ipswich City Council,2023-24,"$8,157,409","$8,540,829",,,
Queensland,Isaac Regional Council,2017-18,"$2,540,858","$5,081,241",,,
Queensland,Isaac Regional Council,2018-19,"$2,638,405","$5,326,335",,,
Queensland,Isaac Regional Council,2019-20,"$2,790,662","$5,504,738",,,
Queensland,Isaac Regional Council,2020-21,"$2,887,330","$5,503,661",,,
Queensland,Isaac Regional Council,2021-22,"$2,819,446","$5,872,146",,,
Queensland,Isaac Regional Council,2022-23,"$4,741,972","$7,748,042",,,
Queensland,Isaac Regional Council,2023-24,"$9,866,995","$10,223,219",,,
Queensland,Kowanyama Aboriginal Shire Council,2017-18,"$818,955","$1,685,432",,,
Queensland,Kowanyama Aboriginal Shire Council,2018-19,"$875,638","$1,795,670",,,
Queensland,Kowanyama Aboriginal Shire Council,2019-20,"$955,448","$1,866,224",,,
Queensland,Kowanyama Aboriginal Shire Council,2020-21,"$969,738","$1,845,409",,,
Queensland,Kowanyama Aboriginal Shire Council,2021-22,"$945,306","$1,910,148",,,
Queensland,Kowanyama Aboriginal Shire Council,2022-23,"$1,503,446","$2,716,806",,,
Queensland,Kowanyama Aboriginal Shire Council,2023-24,"$3,656,217","$3,777,416",,,
Queensland,Livingstone Shire Council,2017-18,"$1,877,905","$3,692,874",,,
Queensland,Livingstone Shire Council,2018-19,"$1,917,951","$3,920,643",,,
Queensland,Livingstone Shire Council,2019-20,"$2,079,386","$4,059,221",,,
Queensland,Livingstone Shire Council,2020-21,"$2,106,771","$4,234,343",,,
Queensland,Livingstone Shire Council,2021-22,"$2,294,214","$4,551,295",,,
Queensland,Livingstone Shire Council,2022-23,"$3,509,297","$4,535,351",,,
Queensland,Livingstone Shire Council,2023-24,"$4,482,068","$4,686,826",,,
Queensland,Lockhart River Aboriginal Shire Council,2017-18,"$811,912","$1,677,771",,,
Queensland,Lockhart River Aboriginal Shire Council,2018-19,"$871,775","$1,798,618",,,
Queensland,Lockhart River Aboriginal Shire Council,2019-20,"$962,571","$1,871,314",,,
Queensland,Lockhart River Aboriginal Shire Council,2020-21,"$967,755","$1,878,724",,,
Queensland,Lockhart River Aboriginal Shire Council,2021-22,"$983,776","$2,018,428",,,
Queensland,Lockhart River Aboriginal Shire Council,2022-23,"$1,613,530","$2,868,929",,,
Queensland,Lockhart River Aboriginal Shire Council,2023-24,"$3,908,476","$4,035,839",,,
Queensland,Lockyer Valley Regional Council,2017-18,"$2,107,524","$4,215,820",,,
Queensland,Lockyer Valley Regional Council,2018-19,"$2,189,628","$4,487,360",,,
Queensland,Lockyer Valley Regional Council,2019-20,"$2,385,799","$4,673,631",,,
Queensland,Lockyer Valley Regional Council,2020-21,"$2,434,714","$4,619,743",,,
Queensland,Lockyer Valley Regional Council,2021-22,"$2,356,349","$4,958,632",,,
Queensland,Lockyer Valley Regional Council,2022-23,"$4,047,410","$5,855,199",,,
Queensland,Lockyer Valley Regional Council,2023-24,"$6,773,293","$7,045,019",,,
Queensland,Logan City Council,2017-18,"$5,498,493","$11,032,434",,,
Queensland,Logan City Council,2018-19,"$5,728,506","$11,493,795",,,
Queensland,Logan City Council,2019-20,"$5,985,456","$11,845,037",,,
Queensland,Logan City Council,2020-21,"$6,233,358","$12,124,382",,,
Queensland,Logan City Council,2021-22,"$6,347,477","$12,922,783",,,
Queensland,Logan City Council,2022-23,"$10,211,119","$13,036,658",,,
Queensland,Logan City Council,2023-24,"$13,137,134","$13,726,247",,,
Queensland,Longreach Regional Council,2017-18,"$3,766,197","$7,155,036",,,
Queensland,Longreach Regional Council,2018-19,"$3,717,147","$7,558,328",,,
Queensland,Longreach Regional Council,2019-20,"$3,988,669","$7,821,347",,,
Queensland,Longreach Regional Council,2020-21,"$4,079,602","$7,754,773",,,
Queensland,Longreach Regional Council,2021-22,"$3,964,903","$8,305,160",,,
Queensland,Longreach Regional Council,2022-23,"$6,756,331","$9,993,312",,,
Queensland,Longreach Regional Council,2023-24,"$11,848,708","$12,296,832",,,
Queensland,Mackay Regional Council,2017-18,"$3,216,819","$6,160,304",,,
Queensland,Mackay Regional Council,2018-19,"$3,198,809","$6,068,182",,,
Queensland,Mackay Regional Council,2019-20,"$2,978,851","$6,020,982",,,
Queensland,Mackay Regional Council,2020-21,"$3,235,793","$6,014,021",,,
Queensland,Mackay Regional Council,2021-22,"$2,992,561","$6,133,357",,,
Queensland,Mackay Regional Council,2022-23,"$4,873,795","$5,595,070",,,
Queensland,Mackay Regional Council,2023-24,"$4,491,507","$4,919,218",,,
Queensland,Mapoon Aboriginal Council,2017-18,"$549,501","$1,141,880",,,
Queensland,Mapoon Aboriginal Council,2018-19,"$593,362","$1,222,759",,,
Queensland,Mapoon Aboriginal Council,2019-20,"$653,680","$1,272,758",,,
Queensland,Mapoon Aboriginal Council,2020-21,"$659,339","$1,321,260",,,
Queensland,Mapoon Aboriginal Council,2021-22,"$714,985","$1,420,934",,,
Queensland,Mapoon Aboriginal Council,2022-23,"$1,101,278","$2,214,002",,,
Queensland,Mapoon Aboriginal Council,2023-24,"$3,110,663","$3,209,033",,,
Queensland,Maranoa Regional Council,2017-18,"$8,687,389","$16,827,171",,,
Queensland,Maranoa Regional Council,2018-19,"$8,741,911","$17,421,954",,,
Queensland,Maranoa Regional Council,2019-20,"$9,013,413","$17,112,509",,,
Queensland,Maranoa Regional Council,2020-21,"$8,620,785","$16,968,960",,,
Queensland,Maranoa Regional Council,2021-22,"$9,006,984","$17,778,707",,,
Queensland,Maranoa Regional Council,2022-23,"$13,652,429","$17,402,111",,,
Queensland,Maranoa Regional Council,2023-24,"$16,928,156","$17,703,571",,,
Queensland,Mareeba Shire Council,2017-18,"$3,417,848","$7,009,370",,,
Queensland,Mareeba Shire Council,2018-19,"$3,640,896","$7,445,178",,,
Queensland,Mareeba Shire Council,2019-20,"$3,950,376","$7,726,039",,,
Queensland,Mareeba Shire Council,2020-21,"$4,018,982","$8,087,102",,,
Queensland,Mareeba Shire Council,2021-22,"$4,389,651","$8,666,859",,,
Queensland,Mareeba Shire Council,2022-23,"$6,658,537","$8,812,184",,,
Queensland,Mareeba Shire Council,2023-24,"$8,822,876","$9,213,414",,,
Queensland,Mckinlay Shire Council,2017-18,"$2,677,636","$5,310,862",,,
Queensland,Mckinlay Shire Council,2018-19,"$2,759,087","$5,422,205",,,
Queensland,Mckinlay Shire Council,2019-20,"$2,765,461","$5,535,263",,,
Queensland,Mckinlay Shire Council,2020-21,"$2,948,617","$5,483,733",,,
Queensland,Mckinlay Shire Council,2021-22,"$2,735,551","$5,878,030",,,
Queensland,Mckinlay Shire Council,2022-23,"$4,894,091","$6,784,348",,,
Queensland,Mckinlay Shire Council,2023-24,"$7,763,483","$8,066,790",,,
Queensland,Moreton Bay Regional Council,2017-18,"$7,659,299","$15,482,724",,,
Queensland,Moreton Bay Regional Council,2018-19,"$8,039,120","$16,272,375",,,
Queensland,Moreton Bay Regional Council,2019-20,"$8,547,634","$16,766,125",,,
Queensland,Moreton Bay Regional Council,2020-21,"$8,742,676","$17,160,927",,,
Queensland,Moreton Bay Regional Council,2021-22,"$9,070,132","$18,353,204",,,
Queensland,Moreton Bay Regional Council,2022-23,"$14,414,879","$17,782,923",,,
Queensland,Moreton Bay Regional Council,2023-24,"$16,802,713","$17,601,053",,,
Queensland,Mornington Shire Council,2017-18,"$799,414","$2,266,428",,,
Queensland,Mornington Shire Council,2018-19,"$1,177,010","$2,423,275",,,
